ocel:eid,ocel:type:A,ocel:activity,ocel:timestamp,ocel:type:O
375,[],Call,2023-01-03 16:00:00+00:00,['Offer_1214293885']
376,['Application_1068218912'],Create offer,2023-01-03 16:00:00+00:00,['Offer_984941995']
377,[],Send,2023-01-03 16:00:00+00:00,['Offer_984941995']
378,['Application_1068218912'],Cancel application,2023-01-03 16:00:00+00:00,"['Offer_1214293885', 'Offer_984941995']"
379,[],Cancel offer,2023-01-03 16:00:00+00:00,['Offer_984941995']
380,[],Cancel offer,2023-01-03 16:00:00+00:00,['Offer_1214293885']
394,['Application_665878125'],Create application,2023-01-03 16:00:00+00:00,[]
395,['Application_665878125'],Complete,2023-01-03 16:00:00+00:00,[]
396,['Application_665878125'],Accept,2023-01-03 16:00:00+00:00,[]
397,['Application_665878125'],Create offer,2023-01-03 16:00:00+00:00,['Offer_213731049']
398,[],Send,2023-01-03 16:00:00+00:00,['Offer_213731049']
399,[],Call,2023-01-03 16:00:00+00:00,['Offer_213731049']
400,['Application_665878125'],Create offer,2023-01-03 16:00:00+00:00,['Offer_1295368850']
401,[],Send,2023-01-03 16:00:00+00:00,['Offer_1295368850']
402,['Application_665878125'],Cancel application,2023-01-03 16:00:00+00:00,"['Offer_1295368850', 'Offer_213731049']"
403,[],Cancel offer,2023-01-03 16:00:00+00:00,['Offer_1295368850']
404,[],Cancel offer,2023-01-03 16:00:00+00:00,['Offer_213731049']
418,['Application_862160604'],Create application,2023-01-03 16:00:00+00:00,[]
419,['Application_862160604'],Complete,2023-01-03 16:00:00+00:00,[]
420,['Application_862160604'],Accept,2023-01-03 16:00:00+00:00,[]
421,['Application_862160604'],Create offer,2023-01-03 16:00:00+00:00,['Offer_306682674']
422,[],Send,2023-01-03 16:00:00+00:00,['Offer_306682674']
423,[],Call,2023-01-03 16:00:00+00:00,['Offer_306682674']
424,['Application_862160604'],Create offer,2023-01-03 16:00:00+00:00,['Offer_1907190632']
425,[],Send,2023-01-03 16:00:00+00:00,['Offer_1907190632']
426,['Application_862160604'],Cancel application,2023-01-03 16:00:00+00:00,"['Offer_306682674', 'Offer_1907190632']"
427,[],Cancel offer,2023-01-03 16:00:00+00:00,['Offer_1907190632']
428,[],Cancel offer,2023-01-03 16:00:00+00:00,['Offer_306682674']
440,['Application_663648942'],Create application,2023-01-03 16:00:00+00:00,[]
441,['Application_663648942'],Submit,2023-01-03 16:00:00+00:00,[]
442,['Application_663648942'],Complete,2023-01-03 16:00:00+00:00,[]
443,['Application_663648942'],Accept,2023-01-03 16:00:00+00:00,[]
444,['Application_663648942'],Create offer,2023-01-03 16:00:00+00:00,['Offer_2089640789']
445,[],Send,2023-01-03 16:00:00+00:00,['Offer_2089640789']
446,[],Call,2023-01-03 16:00:00+00:00,['Offer_2089640789']
447,['Application_663648942'],Create offer,2023-01-03 16:00:00+00:00,['Offer_824319064']
448,[],Send,2023-01-03 16:00:00+00:00,['Offer_824319064']
449,['Application_663648942'],Cancel application,2023-01-03 16:00:00+00:00,"['Offer_824319064', 'Offer_2089640789']"
450,[],Cancel offer,2023-01-03 16:00:00+00:00,['Offer_824319064']
451,[],Cancel offer,2023-01-03 16:00:00+00:00,['Offer_2089640789']
531,['Application_920497952'],Create application,2023-01-03 16:00:00+00:00,[]
532,['Application_920497952'],Submit,2023-01-03 16:00:00+00:00,[]
533,['Application_920497952'],Complete,2023-01-03 16:00:00+00:00,[]
534,['Application_920497952'],Accept,2023-01-03 16:00:00+00:00,[]
535,['Application_920497952'],Create offer,2023-01-03 16:00:00+00:00,['Offer_1173125013']
536,['Application_920497952'],Create offer,2023-01-03 16:00:00+00:00,['Offer_128901379']
537,[],Send,2023-01-03 16:00:00+00:00,['Offer_128901379']
538,[],Send,2023-01-03 16:00:00+00:00,['Offer_1173125013']
539,[],Call,2023-01-03 16:00:00+00:00,['Offer_1173125013']
540,['Application_920497952'],Cancel application,2023-01-03 16:00:00+00:00,"['Offer_128901379', 'Offer_1173125013']"
541,[],Cancel offer,2023-01-03 16:00:00+00:00,['Offer_128901379']
542,[],Cancel offer,2023-01-03 16:00:00+00:00,['Offer_1173125013']
593,['Application_788421650'],Create application,2023-01-03 16:00:00+00:00,[]
594,['Application_788421650'],Complete,2023-01-03 16:00:00+00:00,[]
595,['Application_788421650'],Accept,2023-01-03 16:00:00+00:00,[]
596,['Application_788421650'],Create offer,2023-01-03 16:00:00+00:00,['Offer_738274833']
597,[],Send,2023-01-03 16:00:00+00:00,['Offer_738274833']
598,[],Call,2023-01-03 16:00:00+00:00,['Offer_738274833']
599,['Application_788421650'],Create offer,2023-01-03 16:00:00+00:00,['Offer_2102617321']
600,[],Send,2023-01-03 16:00:00+00:00,['Offer_2102617321']
601,['Application_788421650'],Cancel application,2023-01-03 16:00:00+00:00,"['Offer_2102617321', 'Offer_738274833']"
602,[],Cancel offer,2023-01-03 16:00:00+00:00,['Offer_2102617321']
603,[],Cancel offer,2023-01-03 16:00:00+00:00,['Offer_738274833']
615,['Application_562322973'],Create application,2023-01-03 16:00:00+00:00,[]
616,['Application_562322973'],Submit,2023-01-03 16:00:00+00:00,[]
617,['Application_562322973'],Complete,2023-01-03 16:00:00+00:00,[]
618,['Application_562322973'],Accept,2023-01-03 16:00:00+00:00,[]
619,['Application_562322973'],Create offer,2023-01-03 16:00:00+00:00,['Offer_1126064152']
620,['Application_562322973'],Create offer,2023-01-03 16:00:00+00:00,['Offer_776349166']
621,[],Send,2023-01-03 16:00:00+00:00,['Offer_776349166']
622,[],Send,2023-01-03 16:00:00+00:00,['Offer_1126064152']
623,[],Call,2023-01-03 16:00:00+00:00,['Offer_1126064152']
624,['Application_562322973'],Cancel application,2023-01-03 16:00:00+00:00,"['Offer_1126064152', 'Offer_776349166']"
625,[],Cancel offer,2023-01-03 16:00:00+00:00,['Offer_776349166']
626,[],Cancel offer,2023-01-03 16:00:00+00:00,['Offer_1126064152']
678,['Application_1274070913'],Create application,2023-01-03 16:00:00+00:00,[]
679,['Application_1274070913'],Complete,2023-01-03 16:00:00+00:00,[]
680,['Application_1274070913'],Accept,2023-01-03 16:00:00+00:00,[]
681,['Application_1274070913'],Create offer,2023-01-03 16:00:00+00:00,['Offer_166386211']
682,['Application_1274070913'],Create offer,2023-01-03 16:00:00+00:00,['Offer_1632821088']
683,[],Send,2023-01-03 16:00:00+00:00,['Offer_1632821088']
684,[],Send,2023-01-03 16:00:00+00:00,['Offer_166386211']
685,[],Call,2023-01-03 16:00:00+00:00,['Offer_166386211']
686,['Application_1274070913'],Cancel application,2023-01-03 16:00:00+00:00,"['Offer_166386211', 'Offer_1632821088']"
687,[],Cancel offer,2023-01-03 16:00:00+00:00,['Offer_1632821088']
688,[],Cancel offer,2023-01-03 16:00:00+00:00,['Offer_166386211']
831,['Application_443070493'],Create application,2023-01-03 16:00:00+00:00,[]
832,['Application_443070493'],Complete,2023-01-03 16:00:00+00:00,[]
833,['Application_443070493'],Accept,2023-01-03 16:00:00+00:00,[]
834,['Application_443070493'],Create offer,2023-01-03 16:00:00+00:00,['Offer_35740405']
835,[],Send,2023-01-03 16:00:00+00:00,['Offer_35740405']
836,[],Call,2023-01-03 16:00:00+00:00,['Offer_35740405']
837,['Application_443070493'],Create offer,2023-01-03 16:00:00+00:00,['Offer_1818804840']
838,[],Send,2023-01-03 16:00:00+00:00,['Offer_1818804840']
839,['Application_443070493'],Cancel application,2023-01-03 16:00:00+00:00,"['Offer_35740405', 'Offer_1818804840']"
840,[],Cancel offer,2023-01-03 16:00:00+00:00,['Offer_1818804840']
841,[],Cancel offer,2023-01-03 16:00:00+00:00,['Offer_35740405']
842,['Application_1417516413'],Create application,2023-01-03 16:00:00+00:00,[]
843,['Application_1417516413'],Complete,2023-01-03 16:00:00+00:00,[]
844,['Application_1417516413'],Accept,2023-01-03 16:00:00+00:00,[]
845,['Application_1417516413'],Create offer,2023-01-03 16:00:00+00:00,['Offer_1497689839']
846,[],Send,2023-01-03 16:00:00+00:00,['Offer_1497689839']
847,[],Call,2023-01-03 16:00:00+00:00,['Offer_1497689839']
848,['Application_1417516413'],Create offer,2023-01-03 16:00:00+00:00,['Offer_1776173350']
849,[],Send,2023-01-03 16:00:00+00:00,['Offer_1776173350']
850,['Application_1417516413'],Cancel application,2023-01-03 16:00:00+00:00,"['Offer_1497689839', 'Offer_1776173350']"
851,[],Cancel offer,2023-01-03 16:00:00+00:00,['Offer_1776173350']
852,[],Cancel offer,2023-01-03 16:00:00+00:00,['Offer_1497689839']
853,['Application_879749975'],Create application,2023-01-03 16:00:00+00:00,[]
854,['Application_879749975'],Submit,2023-01-03 16:00:00+00:00,[]
855,['Application_879749975'],Complete,2023-01-03 16:00:00+00:00,[]
856,['Application_879749975'],Accept,2023-01-03 16:00:00+00:00,[]
857,['Application_879749975'],Create offer,2023-01-03 16:00:00+00:00,['Offer_432913061']
858,[],Send,2023-01-03 16:00:00+00:00,['Offer_432913061']
859,[],Call,2023-01-03 16:00:00+00:00,['Offer_432913061']
860,['Application_879749975'],Create offer,2023-01-03 16:00:00+00:00,['Offer_369348638']
861,[],Send,2023-01-03 16:00:00+00:00,['Offer_369348638']
862,['Application_879749975'],Cancel application,2023-01-03 16:00:00+00:00,"['Offer_432913061', 'Offer_369348638']"
863,[],Cancel offer,2023-01-03 16:00:00+00:00,['Offer_369348638']
864,[],Cancel offer,2023-01-03 16:00:00+00:00,['Offer_432913061']
865,['Application_784275418'],Create application,2023-01-03 16:00:00+00:00,[]
866,['Application_784275418'],Submit,2023-01-03 16:00:00+00:00,[]
867,['Application_784275418'],Complete,2023-01-03 16:00:00+00:00,[]
868,['Application_784275418'],Accept,2023-01-03 16:00:00+00:00,[]
869,['Application_784275418'],Create offer,2023-01-03 16:00:00+00:00,['Offer_1844553031']
870,[],Send,2023-01-03 16:00:00+00:00,['Offer_1844553031']
871,[],Call,2023-01-03 16:00:00+00:00,['Offer_1844553031']
872,['Application_784275418'],Create offer,2023-01-03 16:00:00+00:00,['Offer_1037393398']
873,[],Send,2023-01-03 16:00:00+00:00,['Offer_1037393398']
874,['Application_784275418'],Cancel application,2023-01-03 16:00:00+00:00,"['Offer_1037393398', 'Offer_1844553031']"
875,[],Cancel offer,2023-01-03 16:00:00+00:00,['Offer_1037393398']
876,[],Cancel offer,2023-01-03 16:00:00+00:00,['Offer_1844553031']
877,['Application_259183799'],Create application,2023-01-03 16:00:00+00:00,[]
878,['Application_259183799'],Submit,2023-01-03 16:00:00+00:00,[]
879,['Application_259183799'],Complete,2023-01-03 16:00:00+00:00,[]
880,['Application_259183799'],Accept,2023-01-03 16:00:00+00:00,[]
881,['Application_259183799'],Create offer,2023-01-03 16:00:00+00:00,['Offer_470048680']
882,[],Send,2023-01-03 16:00:00+00:00,['Offer_470048680']
883,[],Call,2023-01-03 16:00:00+00:00,['Offer_470048680']
884,['Application_259183799'],Create offer,2023-01-03 16:00:00+00:00,['Offer_388112507']
885,[],Send,2023-01-03 16:00:00+00:00,['Offer_388112507']
886,['Application_259183799'],Cancel application,2023-01-03 16:00:00+00:00,"['Offer_470048680', 'Offer_388112507']"
887,[],Cancel offer,2023-01-03 16:00:00+00:00,['Offer_388112507']
888,[],Cancel offer,2023-01-03 16:00:00+00:00,['Offer_470048680']
889,['Application_1316947913'],Create application,2023-01-03 16:00:00+00:00,[]
890,['Application_1316947913'],Submit,2023-01-03 16:00:00+00:00,[]
891,['Application_1316947913'],Complete,2023-01-03 16:00:00+00:00,[]
892,['Application_1316947913'],Accept,2023-01-03 16:00:00+00:00,[]
893,['Application_1316947913'],Create offer,2023-01-03 16:00:00+00:00,['Offer_481217395']
894,[],Send,2023-01-03 16:00:00+00:00,['Offer_481217395']
895,[],Call,2023-01-03 16:00:00+00:00,['Offer_481217395']
896,['Application_1316947913'],Create offer,2023-01-03 16:00:00+00:00,['Offer_1154367786']
897,[],Send,2023-01-03 16:00:00+00:00,['Offer_1154367786']
898,['Application_1316947913'],Cancel application,2023-01-03 16:00:00+00:00,"['Offer_1154367786', 'Offer_481217395']"
899,[],Cancel offer,2023-01-03 16:00:00+00:00,['Offer_1154367786']
900,[],Cancel offer,2023-01-03 16:00:00+00:00,['Offer_481217395']
1068,['Application_529938699'],Create application,2023-01-03 16:00:00+00:00,[]
1069,['Application_529938699'],Complete,2023-01-03 16:00:00+00:00,[]
1070,['Application_529938699'],Accept,2023-01-03 16:00:00+00:00,[]
1071,['Application_529938699'],Create offer,2023-01-03 16:00:00+00:00,['Offer_1324717742']
1072,[],Send,2023-01-03 16:00:00+00:00,['Offer_1324717742']
1073,[],Call,2023-01-03 16:00:00+00:00,['Offer_1324717742']
1074,['Application_529938699'],Create offer,2023-01-03 16:00:00+00:00,['Offer_1046639925']
1075,[],Send,2023-01-03 16:00:00+00:00,['Offer_1046639925']
1076,['Application_529938699'],Cancel application,2023-01-03 16:00:00+00:00,"['Offer_1046639925', 'Offer_1324717742']"
1077,[],Cancel offer,2023-01-03 16:00:00+00:00,['Offer_1046639925']
1078,[],Cancel offer,2023-01-03 16:00:00+00:00,['Offer_1324717742']
1079,['Application_1185170675'],Create application,2023-01-03 16:00:00+00:00,[]
1080,['Application_1185170675'],Complete,2023-01-03 16:00:00+00:00,[]
1081,['Application_1185170675'],Accept,2023-01-03 16:00:00+00:00,[]
1082,['Application_1185170675'],Create offer,2023-01-03 16:00:00+00:00,['Offer_17406060']
1083,[],Send,2023-01-03 16:00:00+00:00,['Offer_17406060']
1084,[],Call,2023-01-03 16:00:00+00:00,['Offer_17406060']
1085,['Application_1185170675'],Create offer,2023-01-03 16:00:00+00:00,['Offer_890605055']
1086,[],Send,2023-01-03 16:00:00+00:00,['Offer_890605055']
1087,['Application_1185170675'],Cancel application,2023-01-03 16:00:00+00:00,"['Offer_890605055', 'Offer_17406060']"
1088,[],Cancel offer,2023-01-03 16:00:00+00:00,['Offer_890605055']
1089,[],Cancel offer,2023-01-03 16:00:00+00:00,['Offer_17406060']
1090,['Application_1351256522'],Create application,2023-01-03 16:00:00+00:00,[]
1091,['Application_1351256522'],Complete,2023-01-03 16:00:00+00:00,[]
1092,['Application_1351256522'],Accept,2023-01-03 16:00:00+00:00,[]
1093,['Application_1351256522'],Create offer,2023-01-03 16:00:00+00:00,['Offer_623225613']
1094,[],Send,2023-01-03 16:00:00+00:00,['Offer_623225613']
1095,[],Call,2023-01-03 16:00:00+00:00,['Offer_623225613']
1096,['Application_1351256522'],Create offer,2023-01-03 16:00:00+00:00,['Offer_829440260']
1097,[],Send,2023-01-03 16:00:00+00:00,['Offer_829440260']
1098,['Application_1351256522'],Cancel application,2023-01-03 16:00:00+00:00,"['Offer_829440260', 'Offer_623225613']"
1099,[],Cancel offer,2023-01-03 16:00:00+00:00,['Offer_829440260']
1100,[],Cancel offer,2023-01-03 16:00:00+00:00,['Offer_623225613']
1101,['Application_1989400270'],Create application,2023-01-03 16:00:00+00:00,[]
1102,['Application_1989400270'],Submit,2023-01-03 16:00:00+00:00,[]
1103,['Application_1989400270'],Complete,2023-01-03 16:00:00+00:00,[]
1104,['Application_1989400270'],Accept,2023-01-03 16:00:00+00:00,[]
1105,['Application_1989400270'],Create offer,2023-01-03 16:00:00+00:00,['Offer_446279459']
1106,[],Send,2023-01-03 16:00:00+00:00,['Offer_446279459']
1107,[],Call,2023-01-03 16:00:00+00:00,['Offer_446279459']
1108,['Application_1989400270'],Create offer,2023-01-03 16:00:00+00:00,['Offer_190199852']
1109,[],Send,2023-01-03 16:00:00+00:00,['Offer_190199852']
1110,['Application_1989400270'],Cancel application,2023-01-03 16:00:00+00:00,"['Offer_190199852', 'Offer_446279459']"
1111,[],Cancel offer,2023-01-03 16:00:00+00:00,['Offer_190199852']
1112,[],Cancel offer,2023-01-03 16:00:00+00:00,['Offer_446279459']
1130,['Application_1616410992'],Create application,2023-01-03 16:00:00+00:00,[]
1131,['Application_1616410992'],Submit,2023-01-03 16:00:00+00:00,[]
1132,['Application_1616410992'],Complete,2023-01-03 16:00:00+00:00,[]
1133,['Application_1616410992'],Accept,2023-01-03 16:00:00+00:00,[]
1134,['Application_1616410992'],Create offer,2023-01-03 16:00:00+00:00,['Offer_1004722883']
1135,[],Send,2023-01-03 16:00:00+00:00,['Offer_1004722883']
1136,[],Call,2023-01-03 16:00:00+00:00,['Offer_1004722883']
1137,['Application_1616410992'],Create offer,2023-01-03 16:00:00+00:00,['Offer_1686159601']
1138,[],Send,2023-01-03 16:00:00+00:00,['Offer_1686159601']
1139,['Application_1616410992'],Cancel application,2023-01-03 16:00:00+00:00,"['Offer_1004722883', 'Offer_1686159601']"
1140,[],Cancel offer,2023-01-03 16:00:00+00:00,['Offer_1686159601']
1141,[],Cancel offer,2023-01-03 16:00:00+00:00,['Offer_1004722883']
1153,['Application_238073987'],Create application,2023-01-03 16:00:00+00:00,[]
1154,['Application_238073987'],Complete,2023-01-03 16:00:00+00:00,[]
1155,['Application_238073987'],Accept,2023-01-03 16:00:00+00:00,[]
1156,['Application_238073987'],Create offer,2023-01-03 16:00:00+00:00,['Offer_1960395450']
1157,[],Send,2023-01-03 16:00:00+00:00,['Offer_1960395450']
1158,[],Call,2023-01-03 16:00:00+00:00,['Offer_1960395450']
1159,['Application_238073987'],Create offer,2023-01-03 16:00:00+00:00,['Offer_1588121428']
1160,[],Send,2023-01-03 16:00:00+00:00,['Offer_1588121428']
