event_id,A,event_activity,event_timestamp,O,event_CaseID,event_variant
64,['Application_1197857445'],Create offer,42382.6834,['Offer_1345717143'],Application_1197857445,[2]
65,[],Send,42382.69591,['Offer_1345717143'],Application_1197857445,[2]
66,[],Call,42382.69591,['Offer_1345717143'],Application_1197857445,[2]
67,['Application_1197857445'],Create offer,42396.77713,['Offer_2016276809'],Application_1197857445,[2]
68,[],Send,42396.7786,['Offer_2016276809'],Application_1197857445,[2]
69,['Application_1197857445'],Cancel application,42427.34443,"['Offer_1345717143', 'Offer_2016276809']",Application_1197857445,[2]
70,[],Cancel offer,42427.34443,['Offer_2016276809'],Application_1197857445,[2]
71,[],Cancel offer,42427.34443,['Offer_1345717143'],Application_1197857445,[2]
72,['Application_931862671'],Create application,42371.46931,[],Application_931862671,[3]
73,['Application_931862671'],Submit,42371.46931,[],Application_931862671,[3]
74,['Application_931862671'],Complete,42373.38154,[],Application_931862671,[3]
75,['Application_931862671'],Accept,42373.40168,[],Application_931862671,[3]
76,['Application_931862671'],Create offer,42373.40449,['Offer_2004924770'],Application_931862671,[3]
77,['Application_931862671'],Create offer,42373.40475,['Offer_2100546231'],Application_931862671,[3]
78,[],Send,42373.40539,['Offer_2100546231'],Application_931862671,[3]
79,[],Send,42373.40539,['Offer_2004924770'],Application_931862671,[3]
80,[],Call,42373.40539,['Offer_2004924770'],Application_931862671,[3]
81,['Application_931862671'],Create offer,42398.44596,['Offer_1262676703'],Application_931862671,[3]
82,[],Send,42398.44614,['Offer_1262676703'],Application_931862671,[3]
83,['Application_931862671'],Cancel application,42401.8463,"['Offer_2100546231', 'Offer_1262676703', 'Offer_2004924770']",Application_931862671,[3]
84,[],Cancel offer,42401.8463,['Offer_1262676703'],Application_931862671,[3]
85,[],Cancel offer,42401.8463,['Offer_2100546231'],Application_931862671,[3]
86,[],Cancel offer,42401.8463,['Offer_2004924770'],Application_931862671,[3]
87,['Application_2015287405'],Create application,42371.51877,[],Application_2015287405,[0]
88,['Application_2015287405'],Submit,42371.51877,[],Application_2015287405,[0]
89,['Application_2015287405'],Complete,42373.40437,[],Application_2015287405,[0]
90,['Application_2015287405'],Accept,42373.41452,[],Application_2015287405,[0]
91,['Application_2015287405'],Create offer,42373.41995,['Offer_1562802810'],Application_2015287405,[0]
92,[],Send,42373.42049,['Offer_1562802810'],Application_2015287405,[0]
93,[],Call,42373.42049,['Offer_1562802810'],Application_2015287405,[0]
94,['Application_2015287405'],Create offer,42398.44708,['Offer_274484173'],Application_2015287405,[0]
95,[],Send,42398.44732,['Offer_274484173'],Application_2015287405,[0]
96,['Application_2015287405'],Cancel application,42429.33426,"['Offer_1562802810', 'Offer_274484173']",Application_2015287405,[0]
97,[],Cancel offer,42429.33426,['Offer_274484173'],Application_2015287405,[0]
98,[],Cancel offer,42429.33426,['Offer_1562802810'],Application_2015287405,[0]
99,['Application_1461440233'],Create application,42371.65934,[],Application_1461440233,[0]
100,['Application_1461440233'],Submit,42371.65934,[],Application_1461440233,[0]
101,['Application_1461440233'],Complete,42373.43616,[],Application_1461440233,[0]
102,['Application_1461440233'],Accept,42373.44206,[],Application_1461440233,[0]
103,['Application_1461440233'],Create offer,42373.44352,['Offer_750441445'],Application_1461440233,[0]
104,[],Send,42373.44402,['Offer_750441445'],Application_1461440233,[0]
105,[],Call,42373.44402,['Offer_750441445'],Application_1461440233,[0]
106,['Application_1461440233'],Create offer,42398.44836,['Offer_800413592'],Application_1461440233,[0]
107,[],Send,42398.44852,['Offer_800413592'],Application_1461440233,[0]
108,['Application_1461440233'],Cancel application,42429.33448,"['Offer_800413592', 'Offer_750441445']",Application_1461440233,[0]
109,[],Cancel offer,42429.33448,['Offer_800413592'],Application_1461440233,[0]
110,[],Cancel offer,42429.33448,['Offer_750441445'],Application_1461440233,[0]
111,['Application_1234535641'],Create application,42371.72436,[],Application_1234535641,[0]
112,['Application_1234535641'],Submit,42371.72436,[],Application_1234535641,[0]
113,['Application_1234535641'],Complete,42373.44655,[],Application_1234535641,[0]
114,['Application_1234535641'],Accept,42373.7615,[],Application_1234535641,[0]
115,['Application_1234535641'],Create offer,42373.7644,['Offer_1128644000'],Application_1234535641,[0]
116,[],Send,42373.76454,['Offer_1128644000'],Application_1234535641,[0]
117,[],Call,42373.76454,['Offer_1128644000'],Application_1234535641,[0]
118,['Application_1234535641'],Create offer,42398.44955,['Offer_794719051'],Application_1234535641,[0]
119,[],Send,42398.44975,['Offer_794719051'],Application_1234535641,[0]
120,['Application_1234535641'],Cancel application,42429.33442,"['Offer_794719051', 'Offer_1128644000']",Application_1234535641,[0]
121,[],Cancel offer,42429.33442,['Offer_794719051'],Application_1234535641,[0]
122,[],Cancel offer,42429.33442,['Offer_1128644000'],Application_1234535641,[0]
123,['Application_340403559'],Create application,42371.87978,[],Application_340403559,[0]
124,['Application_340403559'],Submit,42371.87978,[],Application_340403559,[0]
125,['Application_340403559'],Complete,42373.46514,[],Application_340403559,[0]
126,['Application_340403559'],Accept,42373.47219,[],Application_340403559,[0]
127,['Application_340403559'],Create offer,42373.47465,['Offer_1088813920'],Application_340403559,[0]
128,[],Send,42373.47587,['Offer_1088813920'],Application_340403559,[0]
129,[],Call,42373.47587,['Offer_1088813920'],Application_340403559,[0]
130,['Application_340403559'],Create offer,42398.45049,['Offer_1585131667'],Application_340403559,[0]
131,[],Send,42398.45064,['Offer_1585131667'],Application_340403559,[0]
132,['Application_340403559'],Cancel application,42429.33454,"['Offer_1088813920', 'Offer_1585131667']",Application_340403559,[0]
133,[],Cancel offer,42429.33454,['Offer_1585131667'],Application_340403559,[0]
134,[],Cancel offer,42429.33454,['Offer_1088813920'],Application_340403559,[0]
156,['Application_593655901'],Create application,42371.94872,[],Application_593655901,[2]
157,['Application_593655901'],Submit,42371.94872,[],Application_593655901,[2]
158,['Application_593655901'],Handle leads,42373.34557,[],Application_593655901,[2]
159,['Application_593655901'],Complete,42373.34613,[],Application_593655901,[2]
160,['Application_593655901'],Accept,42374.6225,[],Application_593655901,[2]
161,['Application_593655901'],Create offer,42374.62494,['Offer_12427732'],Application_593655901,[2]
162,[],Send,42374.62516,['Offer_12427732'],Application_593655901,[2]
163,[],Call,42374.62516,['Offer_12427732'],Application_593655901,[2]
164,['Application_593655901'],Create offer,42398.45274,['Offer_156262203'],Application_593655901,[2]
165,[],Send,42398.45289,['Offer_156262203'],Application_593655901,[2]
166,['Application_593655901'],Cancel application,42429.33467,"['Offer_12427732', 'Offer_156262203']",Application_593655901,[2]
167,[],Cancel offer,42429.33467,['Offer_156262203'],Application_593655901,[2]
168,[],Cancel offer,42429.33467,['Offer_12427732'],Application_593655901,[2]
197,['Application_1947648225'],Create application,42372.56984,[],Application_1947648225,[3]
198,['Application_1947648225'],Submit,42372.56984,[],Application_1947648225,[3]
199,['Application_1947648225'],Complete,42373.50707,[],Application_1947648225,[3]
200,['Application_1947648225'],Accept,42380.70755,[],Application_1947648225,[3]
201,['Application_1947648225'],Create offer,42380.70907,['Offer_1334090954'],Application_1947648225,[3]
202,[],Send,42380.71197,['Offer_1334090954'],Application_1947648225,[3]
203,[],Call,42380.71197,['Offer_1334090954'],Application_1947648225,[3]
204,['Application_1947648225'],Create offer,42398.45541,['Offer_2009051188'],Application_1947648225,[3]
205,[],Send,42398.45554,['Offer_2009051188'],Application_1947648225,[3]
206,['Application_1947648225'],Create offer,42422.43707,['Offer_270784256'],Application_1947648225,[3]
207,[],Send,42422.43723,['Offer_270784256'],Application_1947648225,[3]
208,['Application_1947648225'],Cancel application,42453.33374,"['Offer_1334090954', 'Offer_270784256', 'Offer_2009051188']",Application_1947648225,[3]
209,[],Cancel offer,42453.33374,['Offer_270784256'],Application_1947648225,[3]
210,[],Cancel offer,42453.33374,['Offer_2009051188'],Application_1947648225,[3]
211,[],Cancel offer,42453.33374,['Offer_1334090954'],Application_1947648225,[3]
212,['Application_2068443797'],Create application,42372.82658,[],Application_2068443797,[0]
213,['Application_2068443797'],Submit,42372.82658,[],Application_2068443797,[0]
214,['Application_2068443797'],Complete,42373.60875,[],Application_2068443797,[0]
215,['Application_2068443797'],Accept,42373.84307,[],Application_2068443797,[0]
216,['Application_2068443797'],Create offer,42373.84425,['Offer_288441629'],Application_2068443797,[0]
217,[],Send,42373.84516,['Offer_288441629'],Application_2068443797,[0]
218,[],Call,42373.84516,['Offer_288441629'],Application_2068443797,[0]
219,['Application_2068443797'],Create offer,42398.45718,['Offer_1627163731'],Application_2068443797,[0]
220,[],Send,42398.45741,['Offer_1627163731'],Application_2068443797,[0]
221,['Application_2068443797'],Cancel application,42429.33505,"['Offer_1627163731', 'Offer_288441629']",Application_2068443797,[0]
222,[],Cancel offer,42429.33505,['Offer_1627163731'],Application_2068443797,[0]
223,[],Cancel offer,42429.33505,['Offer_288441629'],Application_2068443797,[0]
240,['Application_1723779444'],Create application,42372.92432,[],Application_1723779444,[0]
241,['Application_1723779444'],Submit,42372.92432,[],Application_1723779444,[0]
242,['Application_1723779444'],Complete,42373.52236,[],Application_1723779444,[0]
243,['Application_1723779444'],Accept,42373.80663,[],Application_1723779444,[0]
244,['Application_1723779444'],Create offer,42373.80792,['Offer_517746250'],Application_1723779444,[0]
245,[],Send,42373.80808,['Offer_517746250'],Application_1723779444,[0]
246,[],Call,42373.80808,['Offer_517746250'],Application_1723779444,[0]
247,['Application_1723779444'],Create offer,42398.45939,['Offer_2006327366'],Application_1723779444,[0]
248,[],Send,42398.45954,['Offer_2006327366'],Application_1723779444,[0]
249,['Application_1723779444'],Cancel application,42429.33523,"['Offer_517746250', 'Offer_2006327366']",Application_1723779444,[0]
250,[],Cancel offer,42429.33523,['Offer_2006327366'],Application_1723779444,[0]
251,[],Cancel offer,42429.33523,['Offer_517746250'],Application_1723779444,[0]
252,['Application_1754646859'],Create application,42372.93293,[],Application_1754646859,[4]
253,['Application_1754646859'],Submit,42372.93293,[],Application_1754646859,[4]
254,['Application_1754646859'],Accept,42373.54245,[],Application_1754646859,[4]
255,['Application_1754646859'],Create offer,42373.54624,['Offer_427046646'],Application_1754646859,[4]
256,[],Send,42373.54641,['Offer_427046646'],Application_1754646859,[4]
257,[],Call,42373.54642,['Offer_427046646'],Application_1754646859,[4]
258,['Application_1754646859'],Create offer,42398.46059,['Offer_1855513771'],Application_1754646859,[4]
259,[],Send,42398.46075,['Offer_1855513771'],Application_1754646859,[4]
260,['Application_1754646859'],Cancel application,42429.33518,"['Offer_1855513771', 'Offer_427046646']",Application_1754646859,[4]
261,[],Cancel offer,42429.33518,['Offer_1855513771'],Application_1754646859,[4]
262,[],Cancel offer,42429.33518,['Offer_427046646'],Application_1754646859,[4]
280,['Application_952532843'],Create application,42373.39495,[],Application_952532843,[0]
281,['Application_952532843'],Submit,42373.39495,[],Application_952532843,[0]
282,['Application_952532843'],Complete,42373.70216,[],Application_952532843,[0]
283,['Application_952532843'],Accept,42374.41939,[],Application_952532843,[0]
284,['Application_952532843'],Create offer,42374.42171,['Offer_575845027'],Application_952532843,[0]
285,[],Send,42374.42192,['Offer_575845027'],Application_952532843,[0]
286,[],Call,42374.42193,['Offer_575845027'],Application_952532843,[0]
287,['Application_952532843'],Create offer,42398.4647,['Offer_1149798095'],Application_952532843,[0]
288,[],Send,42398.46485,['Offer_1149798095'],Application_952532843,[0]
289,['Application_952532843'],Cancel application,42429.33537,"['Offer_575845027', 'Offer_1149798095']",Application_952532843,[0]
290,[],Cancel offer,42429.33537,['Offer_1149798095'],Application_952532843,[0]
291,[],Cancel offer,42429.33537,['Offer_575845027'],Application_952532843,[0]
292,['Application_1886382319'],Create application,42373.41075,[],Application_1886382319,[1]
293,['Application_1886382319'],Complete,42373.41075,[],Application_1886382319,[1]
294,['Application_1886382319'],Accept,42373.41193,[],Application_1886382319,[1]
295,['Application_1886382319'],Create offer,42373.41585,['Offer_1658433857'],Application_1886382319,[1]
296,[],Send,42373.41826,['Offer_1658433857'],Application_1886382319,[1]
297,[],Call,42373.41826,['Offer_1658433857'],Application_1886382319,[1]
298,['Application_1886382319'],Create offer,42398.4661,['Offer_159153109'],Application_1886382319,[1]
299,[],Send,42398.46623,['Offer_159153109'],Application_1886382319,[1]
300,['Application_1886382319'],Cancel application,42429.33548,"['Offer_159153109', 'Offer_1658433857']",Application_1886382319,[1]
301,[],Cancel offer,42429.33548,['Offer_159153109'],Application_1886382319,[1]
302,[],Cancel offer,42429.33548,['Offer_1658433857'],Application_1886382319,[1]
303,['Application_1250134245'],Create application,42373.41466,[],Application_1250134245,[0]
304,['Application_1250134245'],Submit,42373.41466,[],Application_1250134245,[0]
305,['Application_1250134245'],Complete,42374.43411,[],Application_1250134245,[0]
306,['Application_1250134245'],Accept,42374.48109,[],Application_1250134245,[0]
307,['Application_1250134245'],Create offer,42374.48302,['Offer_514594443'],Application_1250134245,[0]
308,[],Send,42374.48319,['Offer_514594443'],Application_1250134245,[0]
309,[],Call,42374.48319,['Offer_514594443'],Application_1250134245,[0]
310,['Application_1250134245'],Create offer,42398.46711,['Offer_1450683092'],Application_1250134245,[0]
311,[],Send,42398.46726,['Offer_1450683092'],Application_1250134245,[0]
312,['Application_1250134245'],Cancel application,42429.33547,"['Offer_1450683092', 'Offer_514594443']",Application_1250134245,[0]
313,[],Cancel offer,42429.33547,['Offer_1450683092'],Application_1250134245,[0]
314,[],Cancel offer,42429.33547,['Offer_514594443'],Application_1250134245,[0]
329,['Application_74505494'],Create application,42373.50598,[],Application_74505494,[0]
330,['Application_74505494'],Submit,42373.50598,[],Application_74505494,[0]
331,['Application_74505494'],Complete,42374.43767,[],Application_74505494,[0]
332,['Application_74505494'],Accept,42374.44818,[],Application_74505494,[0]
333,['Application_74505494'],Create offer,42374.44887,['Offer_1722242928'],Application_74505494,[0]
334,['Application_74505494'],Create offer,42374.44949,['Offer_1398220931'],Application_74505494,[0]
335,[],Send,42374.44969,['Offer_1398220931'],Application_74505494,[0]
336,[],Send,42374.44969,['Offer_1722242928'],Application_74505494,[0]
337,[],Call,42374.44969,['Offer_1722242928'],Application_74505494,[0]
338,['Application_74505494'],Cancel application,42405.33373,"['Offer_1398220931', 'Offer_1722242928']",Application_74505494,[0]
339,[],Cancel offer,42405.33373,['Offer_1398220931'],Application_74505494,[0]
340,[],Cancel offer,42405.33373,['Offer_1722242928'],Application_74505494,[0]
355,['Application_2040511284'],Create application,42373.53733,[],Application_2040511284,[6]
356,['Application_2040511284'],Complete,42373.53733,[],Application_2040511284,[6]
357,['Application_2040511284'],Accept,42373.53869,[],Application_2040511284,[6]
358,['Application_2040511284'],Create offer,42373.5407,['Offer_1257962808'],Application_2040511284,[6]
359,[],Send,42373.54134,['Offer_1257962808'],Application_2040511284,[6]
360,[],Call,42373.54134,['Offer_1257962808'],Application_2040511284,[6]
361,['Application_2040511284'],Create offer,42374.73758,['Offer_6390600'],Application_2040511284,[6]
362,[],Send,42374.73916,['Offer_6390600'],Application_2040511284,[6]
363,['Application_2040511284'],Create offer,42398.46915,['Offer_1504835931'],Application_2040511284,[6]
364,[],Send,42398.46934,['Offer_1504835931'],Application_2040511284,[6]
365,['Application_2040511284'],Cancel application,42399.45687,"['Offer_1257962808', 'Offer_6390600', 'Offer_1504835931']",Application_2040511284,[6]
366,[],Cancel offer,42399.45687,['Offer_1504835931'],Application_2040511284,[6]
367,[],Cancel offer,42399.45687,['Offer_6390600'],Application_2040511284,[6]
368,[],Cancel offer,42399.45687,['Offer_1257962808'],Application_2040511284,[6]
369,['Application_1068218912'],Create application,42373.57761,[],Application_1068218912,[0]
370,['Application_1068218912'],Submit,42373.57761,[],Application_1068218912,[0]
371,['Application_1068218912'],Complete,42374.43819,[],Application_1068218912,[0]
372,['Application_1068218912'],Accept,42374.47011,[],Application_1068218912,[0]
373,['Application_1068218912'],Create offer,42374.4737,['Offer_1214293885'],Application_1068218912,[0]
374,[],Send,42374.4752,['Offer_1214293885'],Application_1068218912,[0]
375,[],Call,42374.4752,['Offer_1214293885'],Application_1068218912,[0]
376,['Application_1068218912'],Create offer,42398.47025,['Offer_984941995'],Application_1068218912,[0]
377,[],Send,42398.4704,['Offer_984941995'],Application_1068218912,[0]
378,['Application_1068218912'],Cancel application,42429.33403,"['Offer_1214293885', 'Offer_984941995']",Application_1068218912,[0]
379,[],Cancel offer,42429.33403,['Offer_984941995'],Application_1068218912,[0]
380,[],Cancel offer,42429.33403,['Offer_1214293885'],Application_1068218912,[0]
381,['Application_1365381023'],Create application,42373.60384,[],Application_1365381023,[2]
382,['Application_1365381023'],Submit,42373.60384,[],Application_1365381023,[2]
383,['Application_1365381023'],Handle leads,42373.60412,[],Application_1365381023,[2]
384,['Application_1365381023'],Complete,42374.4511,[],Application_1365381023,[2]
385,['Application_1365381023'],Accept,42374.46259,[],Application_1365381023,[2]
386,['Application_1365381023'],Create offer,42374.52915,['Offer_638693632'],Application_1365381023,[2]
387,[],Send,42374.52961,['Offer_638693632'],Application_1365381023,[2]
388,[],Call,42374.52961,['Offer_638693632'],Application_1365381023,[2]
389,['Application_1365381023'],Create offer,42398.47122,['Offer_1413672442'],Application_1365381023,[2]
390,[],Send,42398.47137,['Offer_1413672442'],Application_1365381023,[2]
391,['Application_1365381023'],Cancel application,42429.33399,"['Offer_638693632', 'Offer_1413672442']",Application_1365381023,[2]
392,[],Cancel offer,42429.33399,['Offer_1413672442'],Application_1365381023,[2]
393,[],Cancel offer,42429.33399,['Offer_638693632'],Application_1365381023,[2]
394,['Application_665878125'],Create application,42373.60711,[],Application_665878125,[1]
395,['Application_665878125'],Complete,42373.60711,[],Application_665878125,[1]
396,['Application_665878125'],Accept,42373.61643,[],Application_665878125,[1]
397,['Application_665878125'],Create offer,42373.62088,['Offer_213731049'],Application_665878125,[1]
398,[],Send,42373.62123,['Offer_213731049'],Application_665878125,[1]
399,[],Call,42373.62123,['Offer_213731049'],Application_665878125,[1]
400,['Application_665878125'],Create offer,42398.47228,['Offer_1295368850'],Application_665878125,[1]
401,[],Send,42398.47242,['Offer_1295368850'],Application_665878125,[1]
402,['Application_665878125'],Cancel application,42429.33397,"['Offer_1295368850', 'Offer_213731049']",Application_665878125,[1]
403,[],Cancel offer,42429.33397,['Offer_1295368850'],Application_665878125,[1]
404,[],Cancel offer,42429.33397,['Offer_213731049'],Application_665878125,[1]
405,['Application_1044911465'],Create application,42373.61082,[],Application_1044911465,[2]
406,['Application_1044911465'],Submit,42373.61082,[],Application_1044911465,[2]
407,['Application_1044911465'],Handle leads,42373.61139,[],Application_1044911465,[2]
408,['Application_1044911465'],Complete,42373.61413,[],Application_1044911465,[2]
409,['Application_1044911465'],Accept,42374.53411,[],Application_1044911465,[2]
410,['Application_1044911465'],Create offer,42374.53446,['Offer_1303352074'],Application_1044911465,[2]
411,[],Send,42374.53463,['Offer_1303352074'],Application_1044911465,[2]
412,[],Call,42374.53463,['Offer_1303352074'],Application_1044911465,[2]
413,['Application_1044911465'],Create offer,42398.47325,['Offer_393832839'],Application_1044911465,[2]
414,[],Send,42398.47346,['Offer_393832839'],Application_1044911465,[2]
415,['Application_1044911465'],Cancel application,42429.33398,"['Offer_1303352074', 'Offer_393832839']",Application_1044911465,[2]
416,[],Cancel offer,42429.33398,['Offer_393832839'],Application_1044911465,[2]
417,[],Cancel offer,42429.33398,['Offer_1303352074'],Application_1044911465,[2]
418,['Application_862160604'],Create application,42373.62543,[],Application_862160604,[1]
419,['Application_862160604'],Complete,42373.62543,[],Application_862160604,[1]
420,['Application_862160604'],Accept,42373.66524,[],Application_862160604,[1]
421,['Application_862160604'],Create offer,42373.66664,['Offer_306682674'],Application_862160604,[1]
422,[],Send,42373.66691,['Offer_306682674'],Application_862160604,[1]
423,[],Call,42373.66691,['Offer_306682674'],Application_862160604,[1]
424,['Application_862160604'],Create offer,42398.47439,['Offer_1907190632'],Application_862160604,[1]
425,[],Send,42398.47453,['Offer_1907190632'],Application_862160604,[1]
426,['Application_862160604'],Cancel application,42429.33396,"['Offer_306682674', 'Offer_1907190632']",Application_862160604,[1]
427,[],Cancel offer,42429.33396,['Offer_1907190632'],Application_862160604,[1]
428,[],Cancel offer,42429.33396,['Offer_306682674'],Application_862160604,[1]
440,['Application_663648942'],Create application,42373.67534,[],Application_663648942,[0]
441,['Application_663648942'],Submit,42373.67534,[],Application_663648942,[0]
442,['Application_663648942'],Complete,42374.57816,[],Application_663648942,[0]
443,['Application_663648942'],Accept,42374.84705,[],Application_663648942,[0]
444,['Application_663648942'],Create offer,42374.85062,['Offer_2089640789'],Application_663648942,[0]
445,[],Send,42374.85489,['Offer_2089640789'],Application_663648942,[0]
446,[],Call,42374.85489,['Offer_2089640789'],Application_663648942,[0]
447,['Application_663648942'],Create offer,42398.47542,['Offer_824319064'],Application_663648942,[0]
448,[],Send,42398.47556,['Offer_824319064'],Application_663648942,[0]
449,['Application_663648942'],Cancel application,42429.33391,"['Offer_824319064', 'Offer_2089640789']",Application_663648942,[0]
450,[],Cancel offer,42429.33391,['Offer_824319064'],Application_663648942,[0]
451,[],Cancel offer,42429.33391,['Offer_2089640789'],Application_663648942,[0]
452,['Application_1953406738'],Create application,42373.70382,[],Application_1953406738,[2]
453,['Application_1953406738'],Submit,42373.70382,[],Application_1953406738,[2]
454,['Application_1953406738'],Handle leads,42373.70459,[],Application_1953406738,[2]
455,['Application_1953406738'],Complete,42374.6116,[],Application_1953406738,[2]
456,['Application_1953406738'],Accept,42375.85303,[],Application_1953406738,[2]
457,['Application_1953406738'],Create offer,42375.85772,['Offer_2113774528'],Application_1953406738,[2]
458,[],Send,42375.85807,['Offer_2113774528'],Application_1953406738,[2]
459,[],Call,42375.85807,['Offer_2113774528'],Application_1953406738,[2]
460,['Application_1953406738'],Create offer,42398.47626,['Offer_940920291'],Application_1953406738,[2]
461,[],Send,42398.47639,['Offer_940920291'],Application_1953406738,[2]
462,['Application_1953406738'],Cancel application,42429.33387,"['Offer_940920291', 'Offer_2113774528']",Application_1953406738,[2]
463,[],Cancel offer,42429.33387,['Offer_940920291'],Application_1953406738,[2]
464,[],Cancel offer,42429.33387,['Offer_2113774528'],Application_1953406738,[2]
531,['Application_920497952'],Create application,42373.9425,[],Application_920497952,[0]
532,['Application_920497952'],Submit,42373.9425,[],Application_920497952,[0]
533,['Application_920497952'],Complete,42375.37215,[],Application_920497952,[0]
534,['Application_920497952'],Accept,42375.43265,[],Application_920497952,[0]
535,['Application_920497952'],Create offer,42375.43466,['Offer_1173125013'],Application_920497952,[0]
536,['Application_920497952'],Create offer,42375.43494,['Offer_128901379'],Application_920497952,[0]
537,[],Send,42375.436,['Offer_128901379'],Application_920497952,[0]
538,[],Send,42375.436,['Offer_1173125013'],Application_920497952,[0]
539,[],Call,42375.436,['Offer_1173125013'],Application_920497952,[0]
540,['Application_920497952'],Cancel application,42406.34206,"['Offer_128901379', 'Offer_1173125013']",Application_920497952,[0]
541,[],Cancel offer,42406.34207,['Offer_128901379'],Application_920497952,[0]
542,[],Cancel offer,42406.34207,['Offer_1173125013'],Application_920497952,[0]
593,['Application_788421650'],Create application,42374.45366,[],Application_788421650,[1]
594,['Application_788421650'],Complete,42374.45366,[],Application_788421650,[1]
595,['Application_788421650'],Accept,42374.45979,[],Application_788421650,[1]
596,['Application_788421650'],Create offer,42396.43044,['Offer_738274833'],Application_788421650,[1]
597,[],Send,42396.4311,['Offer_738274833'],Application_788421650,[1]
598,[],Call,42396.4311,['Offer_738274833'],Application_788421650,[1]
599,['Application_788421650'],Create offer,42401.418,['Offer_2102617321'],Application_788421650,[1]
600,[],Send,42401.41817,['Offer_2102617321'],Application_788421650,[1]
601,['Application_788421650'],Cancel application,42432.33378,"['Offer_2102617321', 'Offer_738274833']",Application_788421650,[1]
602,[],Cancel offer,42432.33379,['Offer_2102617321'],Application_788421650,[1]
603,[],Cancel offer,42432.33379,['Offer_738274833'],Application_788421650,[1]
615,['Application_562322973'],Create application,42374.57237,[],Application_562322973,[0]
616,['Application_562322973'],Submit,42374.57237,[],Application_562322973,[0]
617,['Application_562322973'],Complete,42375.49695,[],Application_562322973,[0]
